Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Expenditure Purpose,Merchant Category
26/08/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,99.92,General Retail and Wholesale,Grocery stores
26/08/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),B & Q,-14.98,Building Materials,Timber & building supplies
26/08/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),B & Q,242.12,Building Materials,Timber & building supplies
27/08/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),THE WORKS 564,35.99,Books and Periodicals,Book stores
27/08/2014,DCC WHITCHURCH - C 0559309 (00559309),TESCO STORE 3031,44.00,General Retail and Wholesale,Grocery stores
27/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,9.00,General Retail and Wholesale,Grocery stores
27/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,67.12,General Retail and Wholesale,Grocery stores
27/08/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),HOME BARGAINS,7.97,General Retail and Wholesale,Hardware stores
29/08/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,134.35,General Retail and Wholesale,Grocery stores
29/08/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,48.69,General Retail and Wholesale,Grocery stores
30/08/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),HOME BARGAINS,5.49,General Retail and Wholesale,Hardware stores
01/09/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,58.80,General Retail and Wholesale,Grocery stores
01/09/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,43.62,General Retail and Wholesale,Grocery stores
02/09/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon  Mktplce EU-UK,31.47,Books and Periodicals,Book stores
02/09/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon EU,6.99,Mail Order / Direct Selling,Direct sales companies
02/09/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon EU,11.96,Mail Order / Direct Selling,Direct sales companies
02/09/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon EU,6.99,Mail Order / Direct Selling,Direct sales companies
02/09/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,117.90,General Retail and Wholesale,Grocery stores
02/09/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,8.05,General Retail and Wholesale,Grocery stores
02/09/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,36.27,General Retail and Wholesale,Grocery stores
02/09/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,23.75,General Retail and Wholesale,Grocery stores
02/09/2014,DCC ORCHARD LEA RESI 0474050 (00474050),SALLY SALON SERVICES,-174.80,General Retail and Wholesale,Hairdresser and beauty shops
02/09/2014,D C C - BIDEFORD COLLEGE (00247481),MATALANONLINE,23.95,General Retail and Wholesale,Men & womens clothing shops
03/09/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon  Mktplce EU-UK,41.94,Books and Periodicals,Book stores
03/09/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon EU,13.06,Mail Order / Direct Selling,Direct sales companies
03/09/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),B & Q,3.58,Building Materials,Timber & building supplies
03/09/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),SCREWFIX DIRECT LT,4.99,Building Materials,Timber & building supplies
04/09/2014,DCC COCKWOOD P.SCH-0479007 (00479007),Amazon  Mktplce EU-UK,89.90,Books and Periodicals,Book stores
04/09/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon  Mktplce EU-UK,50.95,Books and Periodicals,Book stores
04/09/2014,DCC-BASSETTS FARM PR 0487469 (00487469),Amazon  Mktplce EU-UK,6.47,Books and Periodicals,Book stores
04/09/2014,DCC-BASSETTS FARM PR 0487469 (00487469),Amazon  Mktplce EU-UK,23.13,Books and Periodicals,Book stores
04/09/2014,DCC-BASSETTS FARM PR 0487469 (00487469),Amazon  Mktplce EU-UK,7.90,Books and Periodicals,Book stores
04/09/2014,DCC COURT OF PROTECT-C 0509893 (00509893),WWW.DEVON.GOV.UK,220.00,Training and Educational,Colleges & universities
04/09/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),RAINBOW WHOLESALE,15.90,General Retail and Wholesale,Department stores
04/09/2014,DCC COCKWOOD P.SCH-0479007 (00479007),Amazon EU,46.62,Mail Order / Direct Selling,Direct sales companies
04/09/2014,DCC COCKWOOD P.SCH-0479007 (00479007),Amazon EU,12.49,Mail Order / Direct Selling,Direct sales companies
04/09/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon EU,14.50,Mail Order / Direct Selling,Direct sales companies
04/09/2014,DCC WILLAND SCH-C 0509473 (00509473),Amazon EU,70.01,Mail Order / Direct Selling,Direct sales companies
04/09/2014,DCC-BASSETTS FARM PR 0487469 (00487469),ASDA STORES 7134,229.69,General Retail and Wholesale,Grocery stores
04/09/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,79.07,General Retail and Wholesale,Grocery stores
04/09/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,15.00,General Retail and Wholesale,Grocery stores
04/09/2014,D C C WESTCROFT JUNIOR SCHOOL (00246992),PAYPAL  PAULCARNEY7,49.99,Training and Educational,Primary & secondary school
04/09/2014,D C C WESTCROFT JUNIOR SCHOOL (00246992),PAYPAL  PAULCARNEY7,5.99,Training and Educational,Primary & secondary school
